norad,object,fleet,gcat_otype,active_flag,status,expected_verdict,spike_history,spikes_on_record,in_exam_set,evidence,source,rationale
63501,Starlink 33837,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
63819,Starlink 34055,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
65648,Starlink 34868,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
51751,Starlink 3506,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
65855,Starlink 35200,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
66223,Starlink 35664,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
67936,Starlink 36848,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
69663,Starlink 37554,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
69492,Starlink 37568,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
69651,Starlink 37749,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
69495,Starlink 37789,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
69437,Starlink 37792,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
69652,Starlink 37819,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
69554,Starlink 37860,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
69569,Starlink 37924,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
52608,Starlink 3979,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
52602,Starlink 4012,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
53162,Starlink 4114,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
53003,Starlink 4255,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
53016,Starlink 4283,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
53969,Starlink 4468,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
53718,Starlink 4695,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
53825,Starlink 4751,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
54780,Starlink 5449,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
56333,Starlink 5553,starlink,,A,active,on rhythm,yes,3,yes,assumed,"GCAT currentcat Active flag 'A' (=active, empirically A dominates GEO/S 387/471); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",Documented healthy + has a spike rhythm on record. Expected 'on rhythm'. A 'WENT QUIET' here is a FALSE ALARM - the exact _test_quiet.py failure mode.
43632,Azerspace-2,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
27954,Galaxy 13,intelsat,GEO/S,P,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
29236,Galaxy 16,intelsat,GEO/S,P,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
31307,Galaxy 17,intelsat,GEO/I,A,degraded,on rhythm OR no rhythm yet,no,,no,assumed,"GCAT geotab OType GEO/I (inc let go, lon held); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
32951,Galaxy 18,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
33376,Galaxy 19,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
28702,Galaxy 28,intelsat,GEO/I,P,degraded,on rhythm OR no rhythm yet,no,,no,assumed,"GCAT geotab OType GEO/I (inc let go, lon held); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
46114,Galaxy 30,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
54243,Galaxy 31,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
54244,Galaxy 32,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
54026,Galaxy 33,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
54027,Galaxy 34,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
54741,Galaxy 35,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
54742,Galaxy 36,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
57493,Galaxy 37,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
27445,Galaxy 3C,intelsat,GEO/I,P,degraded,on rhythm OR no rhythm yet,no,,no,assumed,"GCAT geotab OType GEO/I (inc let go, lon held); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
32388,Horizons 2,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
43633,Horizons 3e,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
28358,INTELSAT 10-02,intelsat,GEO/S,A,active-stationkept,on rhythm,no,,no,verified,"GCAT geotab OType GEO/S (station-kept lon+inc); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
26900,INTELSAT 902,intelsat,GEO/I,A,degraded,on rhythm OR no rhythm yet,no,,no,assumed,"GCAT geotab OType GEO/I (inc let go, lon held); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
27380,INTELSAT 904,intelsat,GEO/I,A,degraded,on rhythm OR no rhythm yet,no,,no,assumed,"GCAT geotab OType GEO/I (inc let go, lon held); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
27438,INTELSAT 905,intelsat,GEO/I,A,degraded,on rhythm OR no rhythm yet,no,,no,assumed,"GCAT geotab OType GEO/I (inc let go, lon held); geotab stamp 'Updated 2026 Jul 17 2058:25', currentcat stamp 'Updated 2026 Jul 17 2054:56'",
